department_id,office_id,department_office_id,office_description
All,,,All
898,8973,8988973,Canal Street Development Corporation
220,2234,2202234,Chief Administrative Office - 311 Call Center Operations
220,2282,2202282,Chief Administrative Office - Budget And Planning
220,2297,2202297,Chief Administrative Office - Equipment Maintenance Division - General Maintenance
220,2215,2202215,Chief Administrative Office - Executive Office
220,2288,2202288,Chief Administrative Office - Internal Audit
220,2280,2202280,Chief Administrative Office - Mail Room
220,2231,2202231,Chief Administrative Office - Management Information Systems
220,2277,2202277,Chief Administrative Office - Municipal Training Academy
220,2213,2202213,Chief Administrative Office - Office Emerg Preparedness
220,2216,2202216,Chief Administrative Office - Office Municipal Invest.
220,2285,2202285,Chief Administrative Office -Capital Projects
220,2275,2202275,Chief Administrative Office -Hospital - Insurance
220,2273,2202273,Chief Administrative Office -Personnel/Office Mgmt
220,2284,2202284,Chief Administrative Office -Special Projects
200,2020,2002020,City Council - Clerk Of Council
200,2040,2002040,City Council - Council Fiscal Office
200,2030,2002030,City Council - Council Research
200,2013,2002013,City Council - Councilmember District A
200,2014,2002014,City Council - Councilmember District B
200,2015,2002015,City Council - Councilmember District C
200,2016,2002016,City Council - Councilmember District D
200,2017,2002017,City Council - Councilmember District E
200,2011,2002011,City Council - Councilmember-At-Large (A)
200,2012,2002012,City Council - Councilmember-At-Large (B)
200,2010,2002010,City Council - Councilmembers' Office
200,2050,2002050,City Council - Utility Regulatory/Energy
670,6714,6706714,City Planning Commission - Board Of Zoning Adjustment
670,6723,6706723,City Planning Commission - Comprehensive Planning
670,6713,6706713,City Planning Commission - Land Use Regulation
670,6711,6706711,City Planning Commission - Mapping
670,6701,6706701,City Planning Commission - Policy Formulation & Admin
670,6717,6706717,City Planning Commission -Enhancement
480,4801,4804801,Civil Service Department - Director's Office
480,4825,4804825,Civil Service Department - Fire  Testing & Validation
480,4827,4804827,Civil Service Department - Police Hiring
860,8610,8608610,Clerk of Criminal District Court - Clerk Administration
860,8640,8608640,Clerk of Criminal District Court - Clerk Cj Infrastruct Recov
860,8630,8608630,Clerk of Criminal District Court - Clerk In-Court
860,8642,8608642,Clerk of Criminal District Court - Clerk Microfilm
860,8643,8608643,Clerk of Criminal District Court - Clerk Polling Sites
860,8620,8608620,Clerk of Criminal District Court - Clerk Pre-Court
860,8641,8608641,Clerk of Criminal District Court - Clerk Records Room
860,8644,8608644,Clerk of Criminal District Court - Court Delay Reduction Prog
899,8990,8998990,Clf Audubon Park Payroll
820,8201,8208201,Coroner's Office - Coroner Administration
820,8210,8208210,Coroner's Office - Coroner Autopsies / Lab
820,8220,8208220,Coroner's Office - Coroner Commitments
820,8240,8208240,Coroner's Office - Coroner Examinations
820,8230,8208230,Coroner's Office - Coroner Investigations
837,8375,8378375,Dic Custodians / Messengers
781,7810,7817810,Economic Development Fund
400,4011,4004011,Finance Department - Accounting Administration
400,4043,4004043,Finance Department - Ad Valorem Taxes
400,4035,4004035,Finance Department - Audit
400,4039,4004039,Finance Department - Bingo Unit
400,4046,4004046,Finance Department - Brake Tag/Sanitation
400,4042,4004042,Finance Department - Cashiers
400,4055,4004055,Finance Department - Central Supply
400,4019,4004019,Finance Department - Control
400,4001,4004001,Finance Department - Director's Office
400,4081,4004081,Finance Department - Employee Retirement System
400,4036,4004036,Finance Department - Field Collections
400,4033,4004033,Finance Department - Fiscal Records
400,4071,4004071,Finance Department - Food Stamps Administration
400,4072,4004072,Finance Department - Food Stamps Issuance
400,4016,4004016,Finance Department - General Fund
400,4054,4004054,Finance Department - Inventory Control
400,9640,4009640,Finance Department - No Mus Art P/R
400,4026,4004026,Finance Department - Payroll/Payroll Deductions
400,4053,4004053,Finance Department - Procurement & Support
400,4051,4004051,Finance Department - Purchasing Administration
400,4044,4004044,Finance Department - Receipts & Disbursements
400,4031,4004031,Finance Department - Revenue Administration
400,4032,4004032,Finance Department - Revenue Applications
400,4038,4004038,Finance Department - Settlements/Legal Enforce
